هم;concern, worry
خلو من;becoming empty of
يمن;right
تطورات;stages of development, evolutionary phases, developments
اجتهاد;individual judgment based on reason
جفاء;aversion, distaste, estrangement, alienation
عزل;isolating, cutting off, detaching
لجوء;resorting, seeking refuge
زيف;falseness, falsification, forgery
بلا حرج;without fear or restraint, unhesistatingly
يسر;left
بدون هوادة;with no mercy, relentlessly
دون قيد أو شرط;unconditional, without qualifications
تارةً;sometimes, at times
ليونة;softness, tenderness, flexibility
ابتسامة;smile
إلقاء الضوء على;shedding light on
ضارب في أعماق;deeply rooted in
اتكاء على;leaning on/against
عاجلًا أو آجلًا;sooner or later
مستجدات;new developments, recent events
سلف;ancestors, forefathers, predecessors
صد;repelling, warding off, driving back, keeping out
دلالة;meaning, significance
نفور من;avoiding, shunning, turning away from, having an aversion to
بالنسبة إل;as to/for, regarding, concerning, according to, in  opinion
سمة دخول;visa
بصدد;currently, in the process
بذل;exerting
فدا;may  be sacrificed for !
سريان;spreading, circulating
تيتا;Granny, Grandma
النبي;The Prophet
بصرف النظر عن;regardless of, despite, irrespective of, notwithstanding, to say nothing of
علم نفس;psychology
على أبواب;at the doors of, approaching
الخليج الفارسي;The Persian Gulf
عصمة;sinlessness, infallibility
وصاية;guardianship, custody, curatorship
مس;touching
بسملة;utterance of the formula بِسْمِ اللهِ الرَحْمَن الرَحِيْم
تسيّد;acting as master
الخليج العربي;The Arabian Gulf
مواد أولية;raw materials
بموجب;according to, in accordance with, on the basis of, on the account of
اللحاق ب;catching or keeping up with, following
ركب;procession, troop, convoy
علمًا بأن;keeping in mind, knowing that…
أقلوية;minority status
في صلب;at the heart of, in the innermost part of
بكل تأكيد;certainly, definitely, for sure
وما إلى ذلك;and so forth
طائفية;sectarianism
حق ال;completely, totally
اضمحلال;dwindling, waning, fading away
استنزاف;exhausting, consuming, draining, depleting, exhaustion, consumption, drainage, depletion
رعي;guarding, caring for
قابلة;midwife
تيار;stream, current
صراحة;honesty, frankness
الصهيونية;Zionism
جوهر;essence
طرح;posing, presenting
فض الاشتباك;disengagement, breaking up of a conflict
وجدان;feeling, sentiment
ارتباك;entanglement, muddle, mess
على وتيرة واحدة;in the same manner, uniformly, in unison
من البديهي أن;it is self-evident that, it goes without saying that
لا ناقة ل فيها ولا جمل;has nothing to do with
عشوائي;random, haphazard, arbitrary
متنوع;diverse, varied
أعلى;higher/highest
إعدادي;middle school, junior high school
صادق;honest, truthful
حسن;good, agreeable, pleasant, excellent
معنوي;moral
شفاف;transparent
مغيّم;cloudy
حريص;careful, keen, solicitous
مصوغة;crafted, molded, fashioned
مسؤول;responsible
تلقائي;automatic
معطى;given
معتدل;moderate, temperate
صافي;clear
فوضوي;chaotic
غبي;fool, idiot, stupid
أقل;least, minimum
عادل;equitable, fair, just
روحي;spiritual
مجرم;criminal
مأساوي;tragic
معاصر;contemporary, modern
مطلق;unlimited, unrestricted, absolute
عاقل;reasonable or sensible ,  having reason or intelligence
واثق;trusting, confident, certain, sure
أقل;less
محدود;limited
مباشر;direct
مالي;financial, monetary
تقليدي;traditional, conventional
تنفيذي;executive
مختلف;different, various
نمطي;stereotyped, stereotypical
مطمن ل;feeling assured, reassured about, being comfortable or at ease with, having no qualms about
ضيق;tight, narrow
يا لطيف;my gosh! good heavens! for goodness sake!
موضوعي;objective
مشترك;common, shared
كاسد;stagnant, slack , being in a state of recession
جريء;bold, courageous, daring
مرن;flexible
كريم;distinguished, eminent, honorable
سياسي;political
علماني;secular
رفيع;exquisite, refined, high-ranking
سالب;negative
عالٍ;lofty, exalted, sublime, high-ranking, of high standing
حميم;intimate, close
إيجابي;positive
مطلوب;required, requested
دولي;national, international
متمركز;centralized, centered, concentrated
تدريجي;gradually
ظالم;unjust, unfair
تدريجي;gradual
أبسط;simpler/simplest
شاكر;thankful, grateful
لئيم;mean, wicked
منحطّ;decadent, vulgar
متطرف;extreme, radical
مستثنى;excepted, exempted
إذا ب;and then, and all of a sudden, lo and behold!
وسيط;intermediary
خلّاق;creative
برمائي;amphibious
دموي;bloody
رأسمالي;capitalist
تلقائي;spontaneous, impulsive
صهيوني;Zionist
ضئيل;small, tiny, minute, little, slight
معاكس;counter, contra-, anti-, reverse, opposite
فضائي;satellite
جوهري;substantial, essential, fundamental
حيادي;neutral
العظيم;The Magnificent
بديهي;obvious, self-evident, goes without saying
عاجز;disabled person, incapacitated person
عاجز;weak, feeble, incapable
حديث;modern, new
محفّز;stimulating, moving
ملموس;tangible, palpable, concrete
تراجيدي;tragic
ابتدائي;initial, primary, elementary
مؤدب;good-mannered, well-behaved
واقعي;realistic
منسي;forgotten
أكبر;bigger/biggest, larger/largest, greater/greatest
معدود;limited in number, few
شاذ;odd, peculiar, deviated
معنوي;spiritual
كريم;generous
بيّن;clear, plain, evident, obvious, blatant
مركّب;compound, complex
ليّن;soft, tender, flexible
قطعيّ;final, definitive, decisive
جذري;radical
ماضوي;toward the past
تاريخي;historic, historical
شتّى;various, miscellaneous
غامض;mysterious, vague, ambiguous
بليد;dull, stupid
لاهوتي;theological
مشحون ب;laden, charged with
أقوامي;ethnic
شاحب;pale
إسلاموي;Islamist
صافي;pure
عنيد;stubborn
دامٍ;bleeding, bloody, gory
حامل;pregnant
مجهول;unknown, anonymous
معطّل;obstructing, disrupting, impeding
منعش;refreshing
خاطف;fleeting, rapid
محزن;sad, grievous, saddening
من جديد;anew, once more
مجرد;abstract
وفي;loyal, faithful
شجاع;brave, courageous
حري;free, at liberty
لا غير;that's all, nothing else, no more, nothing but, only, merely, solely
ضمني;tacit, implicit
ضروري;necessary, it's necessary
أبوي;patriarchal
مترجم;translated
مثمر;fruitful
مطمن;feeling assured, reassured, being comfortable or at ease, having no qualms
مغاير ل;different from
شامل;inclusive, comprehensive, complete, exhaustive, extensive
ساذج;naive, simplehearted, unsophisticated
ميت;dead
واثق من;trusting in, confident of, sure of
فخم;luxurious
متساوي;equal, similar, alike, identical
نادر;rare, scarce
أحلى;better/best, more/most sweet, nice, lovely, beautiful, pleasant
كامن;inherent, concealed
سخيف;silly, ridiculous
تافه;trivial, insignificant, petty, banal, trite
أسفل;under, underneath, below
متخلّف;retarded, backward, underdeveloped
أسمر;dark or brown
أرقى;more/most sophisticated, elegant, classy, refined
بشرية;human
مدني;civil
مؤقت;temporary
غيور;zealous, eager, keen, earnestly concerned
مسيحي;Christian
بضروري;necessarily
أكبر;older/oldest, elder/eldest
مربح;profitable
غنية;rich, wealthy
بدائي;primitive
نفسي;spiritual, mental, psychical
فعال;effective, active
عاطفي;emotional, romantic
قاسي;cruel, hard, harsh, severe, tough, extreme
شعبوي;populist
معقول;acceptable, possible, reasonable, logical, comprehensible
بريء;innocent
ذكوري;masculine
عملي;practical, concrete
مختفي;hidden, concealed, disappearing
شعبيات;folk, traditional, popular
معيّن;specified, specific, certain
معقولًا;reasonable, logical, comprehensible
متضايق;upset, annoyed
عام;public
عكس;opposite
مدني;civilian, citizen
جذاب;attractive
أول;most important, main, chief, principal
اتطور;developed [intransitive], evolved, grew
تبادل;exchanged
وزّع;distributed, handed out, divided up, spread
ضمن;ensured, guaranteed
أمر;ordered, commanded
حبس;imprisoned, locked up
عشق;loved, adored
ينوّر;[used to welcome a guest]
عانى;suffered
أربط;tie, fasten, bind
انعكس;was reflected
حلّل;analyzed
فضل;kept on, continued to
هرب;ran away, escaped, fled
يجوز;it's possible, permissible, allowed
تفاعل;interacted
عارض;opposed
خلّا;made/caused/permitted/allowed , left or let , kept
حكم;ruled
شبع;got full  or satiated
لمع;sparkled, shined, shimmered, gleamed, flashed
موّل;funded, financed
كسر;broke  [transitive]
قام;arose, got up, rose
ترجم;was translated
منع من;prevented, forbid  from
ساق;drove
لف;wrapped, rolled
حرم من;deprived  of
يجسد;embodies, represents
يتباع;is sold
لعن;damned, cursed
لام;blamed
صدر;was issued, released, emitted, published
أمن;safety, security
رأى;saw
مفهوم;concept, notion, idea
أخذ في عين الاعتبار;took  into consideration
نقص;fault, shortcoming, defect
رمى;threw, tossed, discarded
استفاد;benefited, gained
يؤسفني أن;it grieves me/saddens me that/to
حكى ل;told, said to, spoke to, talked to
غطّى;covered
نسى;forgot
كره;hated
سحب;withdrew, took away, pulled, dragged
اعتمد على;depended on, relied on
قاد;led
يجب;it's necessary, requisite, obligatory, indispensable
لحق;caught/kept , made it  on time, followed, managed/was able
شك;suspected, was suspicious, doubted, had doubts
تلمّس;felt out, sensed
وصّل;brought, delivered, conveyed, made  reach
كافح;fought, struggled
احتجب;became hidden or concealed
صارع;wrestled, struggled with
اعتدى على;attacked, assaulted
امتنع عن;refrained, abstained from
استنتج;concluded, deduced
تولّد;was generated or produced, originated
توالد;reproduced, multiplied by generation
عبر;crossed, passed through
اختصر;shortened, abbreviated, summarized
تراكم;accumulated, piled up
لوّث;polluted
أدار;turned on, operated
أنجز;achieved, accomplished
تفقّد;inspected, made a formal inspection
اتنطق;was said aloud, uttered, spoken, pronounced
اكترث ب;cared about, took an interest in
كبت;repressed, suppressed
تنازع;fought, disputed
امتزج ب;was mixed, mingled, blended with
سمّى;named, called
أحتيج;was needed
كرّم;honored, paid tribute to
أزعج;bothered, annoyed, disturbed
حفظ;saved, kept, preserved, protected, held
بغى;wanted, desired
منح;granted, gave, awarded
ما يخالف;it's okay, it's alright, it doesn’t matter, it’s fine
كشف عن;revealed, uncovered, exposed
ركب;rode, took , boarded
تعامل;dealt, interacted
كسب;gained, won, acquired
أضاف;added
خطّط;planned, made plans
دار;revolved, turned, spun, rotated
دق;knocked
جذب;attracted
غرق;drowned, sank
دعم;supported
ثبّت;fastened, secured
شاور ل;waved, gestured at
اتواصل;communicated, interconnected
عبر عن;expressed
سخن;became hot or warm
مسح;rubbed, wiped, mopped
هاجر;immigrated, emigrated, migrated
بيّن;showed, made  appear, revealed, made clear or visible, demonstrated
رد;answered, responded, replied
استسلم;surrendered, gave up
استجدى;begged, pleaded
التف;was wrapped
بذل;exerted
وقّف;stopped , suspended, made  stop
حرس;guarded
أخضع;submitted or subjected
اختبر;tested, examined, put to the test
ينبغي;it's necessary, requisite, obligatory, indispensable
اتفلسف;philosophized
ورت;inherited
بأسرع ما يمكن;as fast as possible
عاش;lived , experienced
فيما يتعلق ب;in what regards to, in regard to
تقلّص;shrank, dwindled, declined
جزء لا يتجزأ من;an inseparable or integral part of, part and parcel of
رفع الوصاية عن;lifted or took away the guardianship quality
يتسنى ل;is possible or feasible for
ضغط;pressured, exerted pressure
يخلو من;lacks, is free of
غبت;was absent
غاب;became absent/missing, didn't appear or show up
مما يحز في النفس أن;the sad thing is
ما دام;as long as, since
سقط;failed
طوّر;developed, advanced  [transitive]
قبل;accepted, tolerated
شرح;explained
قاوم;resisted, opposed, stood up against
صام;fasted
وقع;fell
لمس;touched
اتعين;was appointed, hired
أعلن;announced, declared
خلق;created
حرم;forbade, made sinful
ولد;was born
ضرب;hit, beat, struck
اصطاد;hunted, fished
رفض;refused, rejected
زار;visited
اتهم ب;accused  of
مهما كانت;no matter
احتل;occupied, took over, held
انتاب;afflicted, befell, overcame
استاء من;was angered by, displeased with
إذا صح التعبير;so to speak, if I may say
حل;solved
رحّب;welcomed
سرق;stole, robbed
اكتشف;discovered, found out
زعل;made  upset, angered
أحس ب;felt, sensed
سجّل;recorded, registered, logged, scored, enrolled, signed up
وصف;described
احتفظ ب;kept, preserved, held
مخالفة;violate, violating
قرر;decided
قلق;worried, got worried
كرر;repeated
رعى;guarded, protected, cared for
تحمّل;beared, endured, put up with
هدد;threatened
أثّر في;affected, influenced , had an effect/impact on
اتصل;called
ادّعى;claimed, alleged, faked
أدّى;led
شهد;witnessed
مد;extended, stretched
تمتّع;enjoyed, took pleasure
صمد;persevered, withstood, held out
تبنّى;adopted
رن;rang
سمح ل;allowed , permitted  to
حسب;calculated, computed
بني;was built, erected, constructed, set up
صرف;spent , support  financially
قيّم;assessed, evaluated
مهما يكن;no matter what, no matter who
وافق;agreed, approved
أفضل;stay, remain
انفلت;escaped, slipped away, got away
مشى;walked
عض;bit
ظهر;appeared, became visible, emerged
سئل;was asked
بان;became apparent or visible, showed up, came into sight
اتقدم;was presented, offered, served
عسى;[shows potential or possibility]
تمركز;was centered, centralized, or concentrated
فسر;explained, interpreted
ساهم في;participated or shared in, contributed to
استقر;settled down
اختفى;disappeared
اتقدم;advanced, progressed
أدّى;performed, executed
رفع;raised, lifted
اتأثر;got affected, influenced
استشهد بالله;said the formula لا إله إلا الله
حافظ على;protected, preserved, maintained
زاد;increased [intransitive], became more
أقنع;convinced
خطب;got engaged, proposed to
طرح;posed, presented
انسحب;withdrew, retreated
مال;inclined, tended, was favorably disposed
دافع عن;defended, stood up for
ألّف;wrote, composed
صدق;spoke truthfully, told the truth
انشغل;got busy or occupied
فات;passed , elapsed, eluded, escaped  notice
نادا;called, called out
اختلف;differed, was different
لجأ;resorted, sought refuge
تذمّر;grumbled, complained
عدّ;counted
أشّر;pointed
فرض;assumed, supposed
أجّر;rented out, let out for rent
اعتمد;sanctioned, authorized, approved, ratified
حنّّى;put henna on, dyed  with henna
لمّح;suggested, insinuated, hinted
وثق;trusted
شكر في;spoke highly of, praised
استكشف;explored, discovered
نظم;organized, arranged
نفى;denied, refuted
خصص;designated, allocated
احتفل;celebrated
افتقر إلى;lacked, was in need of
نقل;copied, made a copy of
بالغ;overdid, exaggerated, went too far
أثبت;confirmed, proved, established
استجوب;interrogated, questioned
اتولى;undertook or assumed
عاين;inspected, surveyed
استحق;deserved, was worthy
انعدم;was lacking, absent, nonexistent, or devoid of
اندمج;got absorbed, merged, integrated, fused
اتدمر;got ruined, destroyed, destructed
عذر;excused and sympathized with , made allowances for
أهمل;neglected
عزّز;made strong, strengthened, reinforced
هز;shook
انفعل;became agitated, aggravated, or worked up
اكتفى ب;was content, made do with
ضرب مثلًا;set as an example
همّ ب;was worried or concerned about
حاسب;held accountable
شوّه;deformed, distorted
استعان ب على;sought the help of  against
ضحّى;sacrificed
استورد;imported
انتصر;achieved victory, triumphed
حل محلّ;took the place of, replaced
عزم;invited, took out, treated
عبد;worshipped
دلّ على;led, guided, directed  to
استعمل;used
دعا إلى;called upon  to
اجتمع;came together, gathered, met
لحق;followed, pursued
خبط;hit, struck
غضب;became angry
نفّذ;carried out, executed, implemented
صبّح;said good morning
كلف;cost
لبّى;responded , fulfilled
انتمى;belonged, was associated, was affiliated
سلّم ب;admitted, conceded
تعالى على;deemed himself above, looked down on, acted superior to
ذل;humiliated
تدهور;deteriorated, declined
بذّر;wasted, squandered, dissipated
أسقط في يد;stood aghast, was at a loss, was bewildered, was bowled over
رضى عن;satisfaction with or acceptance of
كركب;made a mess, left  in a mess
أرضا;pleased, satisfied
هيمن;dominated, controlled, had power over
شخّص;personified
أوجد;brought into existence
تأتأ;stuttered, stammered
طاول;was tall or long enough to reach
اشتكى;complained
تعلّق ب;got attached to
مرّ على مرور الكرام;passed over  with dignity, treated  with disdain, treated  insignificantly
شخّص;diagnosed
فسد;became corrupt
بث;broadcasted, transmitted
استهلك;consumed
تناقض;contradicted
توافر;was ample, abundant, plentiful
انحسر;receded, subsided
غار;got jealous
أوفد;delegated, deputed, dispatched
تضاءل;diminished, dwindled, decreased
واجه;faced, confronted, encountered
تركّز;was concentrated
عكس;reversed, inverted, turned in the opposite direction
ربى;was raised or brought up
استثمر;invested
استوعب;comprehended
أساء إلى;wronged or offended , acted evilly towards
زال;abated, came to an end, ceased to be
عمّر;lived to an old age
طبخ;cooked
قاس;measured, took measures of
فجّر;blew up, made  explode
انصرف عن;refrained from doing
طبّق;applied, implemented, enforced
سلك مسلكًا;followed a course
اختلط;was mixed or mixed up, formed a mixture or blend
تماهى مع;coalesced or was congruent with
ألحد;became an atheist, abandoned his faith
فكّ;took apart, disassembled
قهر;subjugated, conquered
أفرز;secreted, excreted, discharged
تشتّت;was dispersed, scattered, split in many directions
اقتسم;divided, distributed among themselves, shared
ربط;tied, fastened, bound
أباد;annihilated, eradicated, exterminated
رتّب;organized, arranged, put in order, tidied up
فرض;imposed
اختلف;disagreed, had a disagreement, differed in opinion
ألحق ب;attached, connected  to
هاتف;called, phoned
تعا;come! let's!
هات;[used to request or demand that something be brought, given, or handed over]
تراسل;kept up a correspondence, exchanged letters, wrote to each other
وهب;granted
زايد على;engaged in verbal one-up man-ship against
تمزّق;got torn
كتم;silenced, hid, concealed, kept quiet
استند إلى;leaned against, rested on
أنعم على ب;blessed  with
حك;rubbed, chafed, scratched
انحرف;deviated, strayed, turned away
التفت;turned around, turned one's face
ميّز عن;distinguished  from
جامل;flattered, complimented
صفّى;liquidated, eliminated, killed
تحامق;pretended to be stupid
ناصر;backed, supported, aided
صفّى;cleared up, purified
جاز;it was possible, permissible, allowed
أحاط ب;knew thoroughly, understood fully
غلّف;wrapped, enveloped, covered
عزل;isolated, cut off, detached
احتقر;looked down on, despised, scorned
كحّل;lined  with kohl
عدد;listed, enumerated
صد;repelled, warded off, drove back, kept out
استغفر;asked God for forgiveness, sought God's forgiveness
انفجر;exploded
أجبر على;forced, compelled  to
جرّ;pulled, dragged, tugged, hauled
حسد;envied, put the evil eye
حار;became confused
انحنى;bowed, bended, leaned over
حبس أنفاسه;held his breath
حنّ;yearned, longed
ركع;kneeled, bowed
أشفق على;pitied, had compassion for, sympathized with
عجّل ب;brought about quickly, hastened on
علّق;commented
أفلت من;escaped or slipped away from
وسوس;instilled evil , prompted or tempted
توسّل;begged, pleaded
استغرب;got surprised or astonished , considered  strange or odd
استصعب;found or considered difficult
استبعد;considered  farfetched or unlikely
استسهل;considered  easy
تنافى مع;was incompatible or contradictory with
فتح سيرة;mentioned, brought up the topic of
مسّى;said good evening
توارى عن الأنظار;disappeared
شمت;gloated, rejoiced at  misfortune
استثقل;considered  heavy, hard, or burdensome
خلا من;became empty of
التزم ب;abided by, adhered to, complied with, committed to
كمّل نص دينه;got married
لان;became soft, tender, or flexible
خدم;served, provided a service
ساير;went along with, humored
سوّى;leveled out, smoothed out, made even
لاحظ;noticed
تخلص من;got rid of
لم يدع;didn't let or leave
وفّق بين;reconciled or made peace between two parties, sides, or ideas
لازم;accompanied, was inseparable from, kept close
استثني;was excepted, excluded, made as an exception
دفن;buried
اشتبك;clashed, engaged
انتخب;voted , elected
أنكر;denied, refused
ذهب إلى القول بأن;went so far as to say that
انقاد;was led or guided
تعاظم;became greater or more imposing
نودي;was called, called out
استغنى عن;did without , dispense with
استجاب;responded
أجاد;mastered, did excellently, was an expert at s.th.)
خاصم;had animosity towards, was an enemy with, picked a fight with
اهترأ;wore out, became threadbare
تحسس;groped, felt around , ran his hands over
تصفّح;paged through, leafed through
انحلّ;disintegrated, decayed, deteriorated
حقّر;degraded, humiliated
أوجز;summarized, stated briefly
أهدر;squandered, wasted
اغتصب;raped
ذات;[shows possession or identification with in some way]
التقط أنفاسًا;caught breaths
لمح;caught a glimpse of, noticed, saw
ناول;handed  to
راقب;watched, observed, monitored, regarded attentively
احترم;respected, had respect for
ولّد;generated
اتوكل على الله;trusted in God, depended on God
اضطرب;became disturbed, unsettled, or restless
اعتبر;considered
خطّط;drew lines
استدلّ على;sought direction or information about, inferred, deduced, derived
تستّر على;hid, concealed, covered up
التقط نفسًا;caught a breath
اعتز ب;was proud of, took pride in
شرّف;honored
اتعود;got used or accustomed
تشارك;shared
ضلّ;strayed, deviated
صدم;shocked
ل;[intensifier]
كم;[used to express wonder and intensify]
قد;[indicates the termination of an action in the past]
كي;so that, in order , to
ضد;against
تا;even
بعد;yet
عبر;across, through, by way of, by means of
دون;below, beneath, under
إيا;[signals prohibition or warning]
كلي;both of, the two of
لقد;[confirms action in the past]
ضمن;within, among, inside of
لكي;so that, in order , to
إذا;and then, and all of a sudden
أجل;yes, indeed, no doubt
لئن;"emphatic form of ""if"""
تلو;after, upon, following
لسّة;not yet
طيلة;throughout, during
فجأة;suddenly
متلا;for example
فحسب;and that's all, and no more, only
مهما;no matter , whatever, however
كلتي;both of, the two of
إنما;but, however
إذًا;so, therefore, hence, consequently
من ثم;hence, therefore, for that reason, consequently
ليس ب;[negation]
إيا و;[signals prohibition or warning]
حوالي;approximately, roughly, about
عبثًا;in vain, futilely, to no avail, uselessly
طالما;as long as
كليًا;completely, entirely
حتمًا;inevitably, definitely
أبدًا;always, forever
ياريت;I wish, I hope, if only
ومن ثم;then, thereupon
من قبل;on the part of, from, by
كما لو;as if
يا ترى;I wonder, just wondering
نسبيًا;relatively
خصوصًا;especially, in particular, specifically
بالطبع;of course, naturally, definitely
بالذات;especially, in particular
مجازًا;metaphorically, figuratively
مرارًا;again and again, several times, time and again
لا سيما;especially, in particular, mainly
أيها ال;[used for calling or addressing people]
غير أنّ;except that…, however, but, yet, …though
باختصار;briefly, in short
بالحسنى;amicably, in a friendly manner
جوهريًا;substantially, essentially, fundamentally
إطلاقًا;under any circumstances, without exception
على نحوٍ;in such a way, in a... manner
أيتها ال;[used for calling or addressing people]
فيما بين;between, among
أيّها ال;[used for calling or addressing people]
مثل كمثل;is comparable to, is like
تاريخيًا;historically
تلقائيًا;automatically
كثيرًا ما;often
فقط لا غير;that's all
أيها ال ال;[used for calling or addressing people]
أيتها ال ال;[used for calling or addressing people]
الحيلولة دون;preventing, obstructing
تارةً وتارةً أخرى;at times ... and at other times
